Compound,H2O
MolarMass,18.015
""
Energy_eV,Energy_MeV,mu_m_cm2_g
1.9420376780513582,1.942037678051358e-6,0.000014602443506817726
1.9519023710318009,1.9519023710318007e-6,0.000014874003777122095
1.961817172292169,1.961817172292169e-6,0.000015151150680738975
1.971782336360376,1.971782336360376e-6,0.000015434005582968334
1.9817981190572243,1.981798119057224e-6,0.000015722692555458822
1.9918647775029727,1.9918647775029728e-6,0.000016017338437273848
2.0019825701239378,2.0019825701239376e-6,0.000016304643283084927
2.0121517566591267,2.0121517566591266e-6,0.000016636715080545434
2.022372598166907,2.022372598166907e-6,0.00001697559164619544
2.032645357031706,2.032645357031706e-6,0.00001732141331942802
2.0429702969707493,2.0429702969707493e-6,0.000017674323353195098
2.0533476830408284,2.0533476830408284e-6,0.00001803446797490555
2.0637777816451073,2.0637777816451073e-6,0.00001840199644860458
2.074260860539959,2.074260860539959e-6,0.000018777061138462077
2.0847971888418417,2.084797188841842e-6,0.000019159817573597345
2.095387037034205,2.095387037034205e-6,0.000019550424514268425
2.106030676974436,2.106030676974436e-6,0.00001994904401945527
2.116728381900837,2.116728381900837e-6,0.000020342759134652667
2.1274804264396394,2.1274804264396392e-6,0.000020713060452102074
2.1382870866120545,2.1382870866120544e-6,0.000021109929872347694
2.14914863984136,2.14914863984136e-6,0.000021580303679885217
2.160065364960022,2.160065364960022e-6,0.000022061234270592594
2.1710375422168497,2.17103754221685e-6,0.000022552960137780496
2.1820654532841943,2.182065453284194e-6,0.00002305572519465939
2.193149381265178,2.193149381265178e-6,0.000023569778898159923
2.2042896107009615,2.2042896107009613e-6,0.000024095376375595182
2.2154864275780484,2.215486427578048e-6,0.000024591670747243032
2.226740119335627,2.226740119335627e-6,0.000025086332520552536
2.2380509748729516,2.2380509748729514e-6,0.000025590998321464732
2.249419284556754,2.249419284556754e-6,0.000026105871483444662
2.260845340228704,2.260845340228704e-6,0.000026682503655438227
2.272329435212895,2.272329435212895e-6,0.00002727476226569504
2.283871864323379,2.283871864323379e-6,0.000027854895818831917
2.295472923871733,2.295472923871733e-6,0.00002840671068498245
2.307132911674665,2.3071329116746647e-6,0.000028969524175760468
2.3188521270616604,2.3188521270616602e-6,0.000029543556917602975
2.3306308708826666,2.3306308708826665e-6,0.00003012903399187577
2.3424694455158157,2.3424694455158156e-6,0.00003072618502543492
2.3543681548751865,2.3543681548751864e-6,0.000031335244283041004
2.3663273044186073,2.366327304418607e-6,0.000031956450761665777
2.3783472011554974,2.3783472011554972e-6,0.00003259004828672874
2.3904281536547485,2.3904281536547484e-6,0.00003323628561030459
2.402570472052644,2.4025704720526436e-6,0.000033846872606929396
2.4147744680608247,2.4147744680608245e-6,0.00003458652233161087
2.4270404549742883,2.427040454974288e-6,0.000035344000429337785
2.4393687476794317,2.4393687476794315e-6,0.00003611819381822183
2.4517596626621363,2.4517596626621362e-6,0.00003690947389782896
2.464213518015892,2.4642135180158918e-6,0.00003771822037091967
2.476730633449962,2.476730633449962e-6,0.00003854482143009613
2.4893113302975927,2.4893113302975926e-6,0.00003938967394866446
2.5019559315242597,2.5019559315242595e-6,0.00004025318367580881
2.514664761735962,2.514664761735962e-6,0.00004111100522537313
2.527438147187553,2.5274381471875527e-6,0.00004189612751445912
2.5402764157911157,2.540276415791116e-6,0.00004274644668081901
2.5531798971243833,2.553179897124383e-6,0.00004363581287855292
2.5661489224391967,2.5661489224391964e-6,0.00004454379692403952
2.57918382467001,2.57918382467001e-6,0.000045470791073192206
2.5922849384424382,2.5922849384424383e-6,0.00004641719590132614
2.6054526000818448,2.6054526000818444e-6,0.000047383420480802585
2.618687147621979,2.618687147621979e-6,0.00004836988256249303
2.6319889208136513,2.6319889208136514e-6,0.00004937700876114518
2.645358261133456,2.6453582611334558e-6,0.00005040523474473457
2.6587955117925386,2.6587955117925384e-6,0.00005145500542788961
2.672301017745404,2.672301017745404e-6,0.0000524243858314463
2.6858751256987743,2.685875125698774e-6,0.00005339451077251332
2.699518184120489,2.699518184120489e-6,0.000054382640796179806
2.7132305432484487,2.7132305432484484e-6,0.00005555976165720085
2.7270125550996096,2.7270125550996096e-6,0.000056823267340718784
2.7408645734790174,2.740864573479017e-6,0.00005811570173368359
2.7547869539888903,2.75478695398889e-6,0.000059437731287366464
2.7687800540377503,2.76878005403775e-6,0.000060790037892719404
2.782844232849595,2.782844232849595e-6,0.00006212871375625345
