schema_version,timestamp,git_commit,polypus_version,n_qubits,method,optimizer,infrastructure,backend,seed,base_seed,repeat_index,graph_seed,graph_prob,n_edges,layers,dimensions,population_size,max_generations,layers_factor,population_factor,generations_factor,tolerance,scipy_workers,qng_learning_rate,qng_step,qng_tikhonov,n_shots,n_qpus,nodes,cores_per_qpu,best_solution_bruteforce,best_cut,best_bitstring,approximation_ratio,best_ratio,best_fitness,iterations_run,converged,time_seconds
2,2026-07-15T07:52:06Z,0ffd244,0.6.0,5,polypus_local_pso,PSO,local,aer,43,42,1,7,0.6,9,4,8,32,25,2,4,5,1e-05,,,,,4000,1,1,1,6,6,01011,0.994125,1.0,5.967,25,False,1.7457928657531738
2,2026-07-15T07:52:08Z,0ffd244,0.6.0,5,polypus_local_pso,PSO,local,aer,44,42,2,7,0.6,9,4,8,32,25,2,4,5,1e-05,,,,,4000,1,1,1,6,6,10110,0.9892500000000001,1.0,5.94975,25,False,1.728348970413208
2,2026-07-15T07:52:10Z,0ffd244,0.6.0,5,polypus_local_qng,QNG,local,aer,42,42,0,7,0.6,9,4,8,32,25,2,4,5,,,0.1,0.1,0.05,4000,1,1,1,6,6,10110,0.93925,1.0,5.6355,25,False,1.7647254467010498
2,2026-07-15T07:52:13Z,0ffd244,0.6.0,5,polypus_local_qng,QNG,local,aer,43,42,1,7,0.6,9,4,8,32,25,2,4,5,,,0.1,0.1,0.05,4000,1,1,1,6,6,01001,0.8869166666666667,1.0,5.3215,25,False,1.8855504989624023
2,2026-07-15T07:52:15Z,0ffd244,0.6.0,5,polypus_local_qng,QNG,local,aer,44,42,2,7,0.6,9,4,8,32,25,2,4,5,,,0.1,0.1,0.05,4000,1,1,1,6,6,10110,0.8346666666666667,1.0,5.008,25,False,1.6695706844329834
2,2026-07-15T07:52:35Z,0ffd244,0.6.0,6,scipy,scipy_DE,local,aer,42,42,0,7,0.6,13,6,12,48,30,2,4,5,1e-05,1,,,,4000,1,1,1,9,9,101001,0.8429166666666666,1.0,7.58625,30,False,19.708046674728394
2,2026-07-15T07:52:53Z,0ffd244,0.6.0,6,scipy,scipy_DE,local,aer,43,42,1,7,0.6,13,6,12,48,30,2,4,5,1e-05,1,,,,4000,1,1,1,9,9,010110,0.8598055555555555,1.0,7.73825,30,False,18.24520754814148
2,2026-07-15T07:53:11Z,0ffd244,0.6.0,6,scipy,scipy_DE,local,aer,44,42,2,7,0.6,13,6,12,48,30,2,4,5,1e-05,1,,,,4000,1,1,1,9,9,010110,0.8435833333333334,1.0,7.59225,30,False,17.163702964782715
2,2026-07-15T07:53:16Z,0ffd244,0.6.0,6,polypus_local,DE,local,aer,42,42,0,7,0.6,13,6,12,48,30,2,4,5,1e-05,,,,,4000,1,1,1,9,9,101001,0.853638888888889,1.0,7.65875,30,False,5.23205041885376
2,2026-07-15T07:53:22Z,0ffd244,0.6.0,6,polypus_local,DE,local,aer,43,42,1,7,0.6,13,6,12,48,30,2,4,5,1e-05,,,,,4000,1,1,1,9,9,010110,0.8423611111111111,1.0,7.5725,30,False,5.258544921875
2,2026-07-15T07:53:28Z,0ffd244,0.6.0,6,polypus_local,DE,local,aer,44,42,2,7,0.6,13,6,12,48,30,2,4,5,1e-05,,,,,4000,1,1,1,9,9,101001,0.8263611111111111,1.0,7.453,30,False,5.2588231563568115
2,2026-07-15T07:53:33Z,0ffd244,0.6.0,6,polypus_local_pso,PSO,local,aer,42,42,0,7,0.6,13,6,12,48,30,2,4,5,1e-05,,,,,4000,1,1,1,9,9,101001,0.9247777777777778,1.0,8.33875,30,False,5.211199522018433
2,2026-07-15T07:53:39Z,0ffd244,0.6.0,6,polypus_local_pso,PSO,local,aer,43,42,1,7,0.6,13,6,12,48,30,2,4,5,1e-05,,,,,4000,1,1,1,9,9,010110,0.8816111111111111,1.0,7.9955,30,False,5.266135215759277
2,2026-07-15T07:53:45Z,0ffd244,0.6.0,6,polypus_local_pso,PSO,local,aer,44,42,2,7,0.6,13,6,12,48,30,2,4,5,1e-05,,,,,4000,1,1,1,9,9,010110,0.9415,1.0,8.5245,30,False,5.2565529346466064
2,2026-07-15T07:53:50Z,0ffd244,0.6.0,6,polypus_local_qng,QNG,local,aer,42,42,0,7,0.6,13,6,12,48,30,2,4,5,,,0.1,0.1,0.05,4000,1,1,1,9,7,101000,0.8012777777777778,0.7777777777777778,7.2115,30,False,5.238189697265625
2,2026-07-15T07:53:56Z,0ffd244,0.6.0,6,polypus_local_qng,QNG,local,aer,43,42,1,7,0.6,13,6,12,48,30,2,4,5,,,0.1,0.1,0.05,4000,1,1,1,9,9,010110,0.7976666666666667,1.0,7.179,30,False,5.339937686920166
2,2026-07-15T07:54:03Z,0ffd244,0.6.0,6,polypus_local_qng,QNG,local,aer,44,42,2,7,0.6,13,6,12,48,30,2,4,5,,,0.1,0.1,0.05,4000,1,1,1,9,9,010110,0.7976388888888889,1.0,7.17875,30,False,6.56390118598938
